,NN1,PRP,VVN,VVB,NP0,PUN,AJ0,CRD,UNC,DT0,AT0,NN0,PNP,NN2,VVG,CJC,VHB,DPS,CJS,VM0,VBI,AV0,AVP,PUQ,XX0,TO0,VVI,DTQ,VBZ,PRF,ORD,POS,VBB,PNQ,VBN,VVD,CJT,AVQ,PNI,EX0,VHZ,PUR,PUL,VVZ,AJC,VBD,VBG,VHI,AJS,VDG,PNX,VDB,VHN,ZZ0,VDZ,VDI,VHD,VDN,VHG,VDD,ITJ
DTQ,39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBZ,44,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42354,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRF,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD,36,0,0,0,10,2,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,205,0,0,17370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBB,29,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,21,0,0,0,0,0,0,0,0,0,0,21160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNQ,34,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VVD,268,56,10864,138,39,71,1462,2,0,0,33,0,5,2,1,2,0,0,28,30,0,10,4,5,0,2,9,0,2,6,0,4,0,0,0,76650,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJT,34,0,0,0,0,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVQ,20,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2469,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNI,32,1,0,0,0,0,1,1142,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
